name	bhmass	bhmass_err
ASASSN-14ae	5.9625099	0.34505458
ASASSN-14li	6.7700828	0.31843901
iPTF15af	7.2822254	0.30668144
ASASSN-15oi	6.2301705	0.39514905
iPTF16axa	6.7934444	0.32202973
PS16dtm	5.6509682	0.37037787
AT2016fnl	6.0330345	0.34232576
AT2017eqx	5.3602636	0.41061672
AT2018zr	5.8435556	0.38997375
AT2018bsi	7.4789785	0.32892331
AT2018dyb	7.0935616	0.30864805
AT2018hco	6.4456636	0.37242322
AT2018hyz	6.3979672	0.33649154
AT2018lna	5.2487215	0.43284909
ASASSN-19bt	6.4641197	0.27446497
AT2019azh	6.4372835	0.32829098
AT2019dsg	6.9037281	0.32353766
AT2019ehz	5.7195301	0.59374892
AT2019eve	5.1982636	0.48372175
AT2019qiz	6.5418595	0.32465157
AT2019teq	6.3160636	0.32945161
AT2020pj	6.4132636	0.29924343
AT2020mot	6.663992	0.34402489
AT2020neh	5.4267155	0.45640546
AT2020nov	7.7092636	0.25642363
AT2020opy	6.4132636	0.35240419
AT2020wey	5.9818105	0.37685075
AT2020vwl	5.7931837	0.35193775
AT2018fyk	8.0421972	0.29581997
CNSSJ0019+00	6	null
SwJ1644+57 	6.5	null
