Name,t,p,epsilon_e,epsilon_B,nu_a,nu_a_error,nu_m,nu_m_error,Fp_mJy,Fp_mJy_error,dist_Mpc,z
CNSSJ0019+00,573,3.3,0.1,0.1,4.26,0.04,-99.99,-99.99,8.27,0.03,77.1,0.018
CNSSJ0019+00,606,3.3,0.1,0.1,3.87,0.03,-99.99,-99.99,8.08,0.04,77.1,0.018
CNSSJ0019+00,731,3.3,0.1,0.1,3.12,0.04,-99.99,-99.99,7.41,0.06,77.1,0.018
CNSSJ0019+00,998,3.3,0.1,0.1,1.92,0.06,-99.99,-99.99,4.95,0.09,77.1,0.018
ASASSN-14li,128,3.0,0.1,0.1,16.8,0.0,-99.99,-99.99,1.91,0.0,90.0,0.0206
ASASSN-14li,143,3.0,0.1,0.1,8.2,0.1,-99.99,-99.99,1.76,0.01,90.0,0.0206
ASASSN-14li,207,3.0,0.1,0.1,4.37,0.2,-99.99,-99.99,1.23,0.03,90.0,0.0206
ASASSN-14li,246,3.0,0.1,0.1,4.0,0.06,-99.99,-99.99,1.14,0.01,90.0,0.0206
ASASSN-14li,304,3.0,0.1,0.1,2.55,0.06,-99.99,-99.99,0.94,0.02,90.0,0.0206
ASASSN-14li,381,3.0,0.1,0.1,1.91,0.07,-99.99,-99.99,0.62,0.02,90.0,0.0206
AT2020vwl,142,3.0,0.1,0.1,8.04,0.81,3.69,1.0,0.59,0.03,147.0,0.035
AT2020vwl,211,3.0,0.1,0.1,5.79,0.68,2.56,0.81,0.54,0.05,147.0,0.035
AT2020vwl,307,3.0,0.1,0.1,3.05,0.53,1.5,0.56,0.35,0.06,147.0,0.035
AT2020vwl,375,3.0,0.1,0.1,2.35,0.54,1.25,0.51,0.21,0.06,147.0,0.035
AT2020vwl,423,3.0,0.1,0.1,2.9,0.81,1.48,0.73,0.13,0.03,147.0,0.035
AT2020vwl,577,3.0,0.1,0.1,1.55,0.36,0.87,0.31,0.26,0.07,147.0,0.035
AT2020opy,50,2.7,0.1,0.1,9.6,1.2,-99.99,-99.99,0.07,0.007,765.8,0.159
AT2020opy,116,2.7,0.1,0.1,9.4,0.5,-99.99,-99.99,0.141,0.006,765.8,0.159
AT2020opy,281,2.7,0.1,0.1,4.2,0.4,-99.99,-99.99,0.28,0.02,765.8,0.159
AT2019dsg,52,2.7,0.1,0.02,15.848931924611108,3.6493514389486976,-99.99,-99.99,0.47,0.09,230.0,0.051
AT2019dsg,55,2.7,0.1,0.02,20.89296130854041,6.254016763481047,-99.99,-99.99,0.6,0.04,230.0,0.051
AT2019dsg,60,2.7,0.1,0.02,18.197008586099827,1.2570048212231435,-99.99,-99.99,0.67,0.01,230.0,0.051
AT2019dsg,80,2.7,0.1,0.02,13.803842646028865,1.9070713381668931,-99.99,-99.99,0.8,0.06,230.0,0.051
AT2019dsg,82,2.7,0.1,0.02,10.71519305237605,0.7401793137286338,-99.99,-99.99,0.65,0.03,230.0,0.051
AT2019dsg,130,2.7,0.1,0.02,10.232929922807537,0.9424876759163738,-99.99,-99.99,1.24,0.05,230.0,0.051
AT2019dsg,161,2.7,0.1,0.02,9.549925860214369,0.8795806769971178,-99.99,-99.99,0.98,0.04,230.0,0.051
AT2019dsg,188,2.7,0.1,0.02,5.128613839913659,0.47236279102032575,-99.99,-99.99,1.22,0.04,230.0,0.051
